Diet,Source,Donor,CollectionMet,Sex,OTU4496,OTU4154,OTU3857,OTU618,OTU5948,OTU5429,OTU3994,OTU5691,OTU5937,OTU6256,OTU5319,OTU1062,OTU1347,OTU710,OTU3263,OTU1333,OTU3991,OTU3406,OTU5420,OTU708,OTU4435,OTU2839,OTU5741,OTU1150,OTU453,OTU254,OTU4380,OTU1100,OTU1901,OTU5417,OTU5499,OTU4257,OTU6224,OTU1177,OTU675,OTU3102,OTU1132,OTU1462,OTU1629,OTU3828,OTU5502,OTU1812,OTU2728,OTU5711,OTU1779,OTU2516,OTU4877,OTU155,OTU4273,OTU4969
0,0,0,0,0,0.18345093,0.192431046,0.041693393,4.88e-11,0.037844772,0.04041052,0.000641437,3.11e-11,0.019243105,0.031430404,0.006414368,2.23e-11,0.037844772,0.000641437,1.4e-11,0.053880693,0.033996151,0.029506094,0.0121873,2.19e-11,0.003207184,0.006414368,4.66e-11,0.022450289,5.41e-11,8.64e-11,1.59e-11,2.84e-11,2.37e-11,0.004490058,1.77e-12,0.015394484,0.001282874,0.018601668,0.004490058,3.31e-12,3.07e-12,0.000641437,0.000641437,7.9e-11,0.0121873,0.005131495,8.68e-11,4.67e-11,0.000641437,8.15e-12,0.016677357,0.004490058,0.003848621,4.32e-11
0,1,0,0,0,0.106945143,0.201308505,0.055359839,6.11e-11,0.05183694,0.042274786,0.003774534,4.1e-11,0.022647207,0.055611475,0.006542526,0.000251636,0.034222446,0.001509814,5.79e-11,0.062405637,0.02994464,0.017362859,0.010065425,6.19e-11,0.002767992,0.002767992,8.05e-11,0.030447911,1.79e-11,8.29e-11,2.19e-11,7.32e-11,7.97e-11,0.005032713,5.06e-11,0.017111223,0.000503271,0.017111223,0.004529441,6.93e-11,4.44e-11,0.000503271,0.003774534,8.4e-11,0.019124308,0.001761449,2.03e-11,9.87e-11,8.76e-12,7.09e-12,0.016356316,0.00578762,0.003774534,0.000251636
0,2,0,1,0,0.063862928,0.242211838,0.02258567,6.81e-12,0.058411215,0.037383178,0.010124611,1.48e-11,0.03894081,0.009345794,0.007788162,2.98e-11,0.017912773,0.001557632,6.79e-11,1.46e-11,0.033489097,0.03271028,0.02258567,0.000778816,0.001557632,0.003894081,0.000778816,0.020249221,3.21e-11,7.95e-11,1.31e-11,5.52e-11,6.85e-11,0.007788162,0.021028037,0.014797508,0.003894081,0.011682243,0.007009346,1.17e-11,1.23e-12,9.46e-11,0.003115265,2.32e-11,0.017912773,5.2e-11,0.001557632,0.036604361,3.58e-11,4.98e-11,0.011682243,0.001557632,0.003894081,9.88e-11
0,2,0,0,0,0.06002223,0.228232679,0.041867358,5.67e-11,0.0585402,0.035939237,0.002593553,2.39e-11,0.053353094,0.015931827,0.010374213,1.94e-11,0.028899592,0.00148203,0.008151167,0.037421267,0.042237866,0.042237866,0.015561319,1.72e-11,0.002964061,0.026306039,0.000370508,0.02778807,7.43e-11,5.12e-11,6.06e-11,6.69e-11,9.73e-11,0.007039644,6.81e-11,0.012967766,0.001852538,0.012226751,0.005187106,1.19e-11,6.15e-11,4.7e-11,0.001852538,7.02e-11,0.01852538,0.000370508,6.18e-11,2.28e-11,8.68e-11,0.000741015,0.005557614,0.002964061,0.004075584,7.21e-11
0,3,0,0,0,0.095707943,0.195855945,0.045387272,1.35e-11,0.046373952,0.038973853,0.004933399,1.54e-11,0.031573754,0.019733596,0.007893439,5.85e-11,0.027133695,0.00098668,0.015293537,0.047853971,0.039960533,0.027133695,0.016773557,0.00049334,0.003453379,0.019240257,6.01e-11,0.024173656,1.63e-11,8.21e-11,6.79e-11,3.95e-11,4.58e-11,0.004933399,8.64e-11,0.018253577,0.00098668,0.012333498,0.004440059,5.38e-11,1.81e-11,0.0024667,0.003946719,8.86e-11,0.016773557,0.00049334,0.00049334,7.42e-11,4.21e-11,0.00098668,0.017266897,0.003453379,0.00197336,2.4e-11
0,4,0,1,0,0.202609363,0.171143515,0.011511896,3.36e-11,0.05295472,0.017651573,0.002302379,3.75e-11,0.036070606,0.030698388,0.006139678,3.82e-11,0.02532617,0.001534919,5.08e-11,0.00076746,0.033000767,0.02609363,0.013814275,7.36e-12,0.002302379,0.003069839,6.34e-11,0.011511896,0.00076746,7.87e-11,1.23e-11,8.95e-11,3e-11,0.003069839,0.020721412,0.007674597,0.001534919,0.016884114,0.009976976,7.45e-12,1.75e-11,0.002302379,0.005372218,3.14e-11,0.019186493,3.5e-11,0.001534919,0.023023791,8.02e-13,3.21e-11,0.013046815,8.29e-11,0.001534919,9.15e-11
0,5,0,1,0,0.308149406,0.052631579,0.016129032,0.000848896,0.026315789,0.014431239,2.1e-11,5.77e-11,0.033955857,0.016977929,0.010186757,2.92e-11,0.008488964,0.004244482,0.000848896,4.74e-11,0.070458404,0.008488964,0.003395586,3.36e-11,0.002546689,0.002546689,4.93e-11,0.033955857,1.36e-11,1.4e-11,8.14e-11,7.1e-11,8.04e-12,6.79e-11,0.022920204,0.006791171,2.4e-11,0.026315789,0.002546689,7.7e-11,1.47e-11,4.83e-11,4.9e-11,6.82e-11,0.025466893,4.47e-11,0.002546689,0.058573854,1.6e-11,0.001697793,0.015280136,0.000848896,0.011035654,8.01e-11
0,6,0,0,0,0.067514248,0.019289785,0.010960105,7.84e-11,0.007014467,0.004384042,0.000876808,6.14e-11,0.015782552,0.006576063,0.000876808,0.000876808,0.003068829,0.001753617,5.08e-11,0.435335379,0.019289785,0.005260851,0.001315213,5.15e-12,0.001315213,0.032003507,9.16e-11,0.192897852,8.16e-12,8.76e-11,7.2e-12,7.42e-11,6.88e-11,6.24e-11,9.95e-11,0.012275318,0.000876808,0.004384042,0.000438404,4.93e-11,9.77e-11,0.000438404,0.000438404,5.21e-11,0.002630425,0.000876808,5.67e-12,6.23e-11,8.9e-11,8.75e-11,0.002192021,0.001753617,0.002192021,0.000876808
0,7,0,1,0,0.307550645,0.007366483,0.001841621,9.24e-11,0.004604052,0.00092081,1.09e-11,9.39e-11,0.009208103,0.00092081,0.005524862,2.32e-11,3.14e-11,0.003683241,0.00092081,0.00092081,0.098526703,0.001841621,0.00092081,6.89e-11,0.005524862,0.010128913,8e-11,0.05801105,7.16e-11,7.98e-11,3.17e-11,5.42e-11,4.51e-11,8.08e-11,0.031307551,4.73e-11,9.21e-11,0.025782689,5.07e-11,8.18e-11,9.02e-11,0.00092081,0.00092081,7.75e-11,0.031307551,9.14e-11,2.12e-12,0.185082873,5.22e-11,8.31e-11,0.008287293,0.00092081,0.011970534,9.96e-12
0,7,0,0,0,0.108198925,0.005376344,0.012768817,9.89e-11,0.007392473,0.002016129,6.19e-11,2.17e-11,0.002688172,0.000672043,0.001344086,0.000672043,9.68e-14,1.77e-11,3.58e-11,0.126344086,0.008736559,0.001344086,0.000672043,5.23e-11,0.001344086,0.017473118,2.2e-11,0.08266129,0.001344086,5.74e-11,7.26e-11,8.04e-11,5.91e-12,8.81e-11,9.76e-11,0.008736559,7.95e-11,0.023521505,7.34e-11,1.23e-11,0.001344086,0.000672043,3.68e-11,5.85e-11,0.01344086,0.000672043,5.62e-11,2.29e-11,0.000672043,9.41e-11,0.006048387,0.003360215,0.002016129,8.89e-11
